gene_id,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00000153,2,0,0,3,1,0,0,0
ENSG00000154,2,0,1,13,2,0,2,2
ENSG00000155,51,563,183,704,231,132,181,225
ENSG00000156,228,49,106,182,71,219,90,421
ENSG00000157,42,99,12,30,29,62,20,82
ENSG00000158,23,6,25,74,19,30,41,148
ENSG00000159,127,465,120,37,174,212,22,332
ENSG00000160,807,272,862,2153,378,189,843,413
ENSG00000161,43,66,47,93,91,201,60,41
ENSG00000162,2616,1176,2196,9411,1565,536,2662,1472
ENSG00000163,1998,902,2274,1158,1155,230,1165,1099
ENSG00000164,4,23,21,35,18,16,5,21
ENSG00000165,296,1614,541,847,475,2704,360,389
ENSG00000166,17,23,2,65,17,8,11,5
ENSG00000167,29,15,23,79,29,37,9,26
ENSG00000168,314,973,280,643,242,176,149,88
ENSG00000169,159,234,212,108,104,128,430,657
ENSG00000170,1,1,1,0,0,2,1,3
ENSG00000171,34,95,42,64,62,111,21,99
ENSG00000172,350,569,275,69,378,63,309,92
ENSG00000173,0,0,1,0,0,9,0,4
ENSG00000174,384,3672,1073,1996,1315,122,503,2787
ENSG00000175,79,371,169,182,106,39,135,22
ENSG00000176,641,3138,530,429,579,501,558,926
ENSG00000177,0,3,0,2,0,0,1,3
ENSG00000178,255,622,89,42,153,353,278,107
ENSG00000179,95,162,100,4,47,32,176,478
ENSG00000180,15,11,22,6,2,6,20,2
ENSG00000181,6,0,2,6,0,1,0,0
ENSG00000182,56,88,58,48,105,67,84,19
ENSG00000183,929,545,1149,2092,1543,491,1961,2163
ENSG00000184,34,4,18,73,41,13,42,95
ENSG00000185,83,266,217,74,142,61,145,78
ENSG00000186,0,8,0,7,0,0,1,0
ENSG00000187,456,823,175,499,250,65,176,653
ENSG00000188,3,38,14,24,23,96,20,105
ENSG00000189,34,53,6,5,25,105,35,14
ENSG00000190,1,7,2,0,1,2,3,7
ENSG00000191,6526,9410,4455,2192,2331,11061,6911,2745
ENSG00000192,4,2,0,21,15,5,4,13
ENSG00000193,13,13,9,3,32,19,31,6
ENSG00000194,150,469,77,162,154,49,94,64
ENSG00000195,58,78,87,8,18,28,27,16
ENSG00000196,18,9,30,11,17,64,25,34
ENSG00000197,187,96,278,183,172,176,267,656
ENSG00000198,3,1,1,0,3,1,2,0
ENSG00000199,167,362,145,97,96,71,162,568
ENSG00000200,7119,7361,18615,5696,14585,38146,12671,8164
ENSG00000201,128,153,104,70,75,38,132,91
ENSG00000202,13,27,8,2,0,22,5,8
ENSG00000203,5,8,24,29,10,67,29,96
ENSG00000204,1,3,0,1,1,0,0,2
ENSG00000205,6,246,47,4,88,6,69,93
ENSG00000206,4852,1600,9057,5052,7335,21740,4324,5730
ENSG00000207,5,1,3,8,0,0,0,0
ENSG00000208,49,174,114,120,16,221,78,375
ENSG00000209,6,16,16,101,17,82,9,13
ENSG00000210,207884,55074,136381,60828,116903,160765,176363,117110
ENSG00000211,9749,2450,4196,11657,2095,34492,3377,9566
ENSG00000212,229,3453,188,122,400,105,318,205
ENSG00000213,1399,4050,1085,1410,964,3039,971,3464
ENSG00000214,27,14,28,7,31,103,19,99
ENSG00000215,2,2,0,1,0,2,2,1
ENSG00000216,684,250,584,89,605,522,600,295
ENSG00000217,185,146,104,411,56,55,183,247
ENSG00000218,2,2,3,9,4,5,5,5
ENSG00000219,17,12,6,4,12,31,24,6
ENSG00000220,100,65,62,214,68,13,42,149
ENSG00000221,0,0,0,1,1,0,1,3
ENSG00000222,112,51,104,259,96,485,189,54
ENSG00000223,19,6,4,31,34,90,12,30
ENSG00000224,14,41,21,4,45,52,26,10
ENSG00000225,2,0,1,4,1,0,0,0
ENSG00000226,239,81,74,87,174,113,270,143
ENSG00000227,6,1,3,4,3,2,2,3
ENSG00000228,8,3,14,2,8,18,7,2
ENSG00000229,83,306,130,250,74,582,116,47
ENSG00000230,8,38,11,3,12,9,7,20
ENSG00000231,27,20,8,101,50,9,25,11
ENSG00000232,9,0,3,36,4,16,3,1
ENSG00000233,12,1,14,24,12,12,39,8
ENSG00000234,37,90,56,32,58,35,58,54
ENSG00000235,151,361,170,27,167,49,57,70
ENSG00000236,57,5,3,95,25,10,36,9
ENSG00000237,3,2,1,0,2,0,4,2
ENSG00000238,2,2,0,0,0,0,4,7
ENSG00000239,13,42,2,39,1,27,14,29
ENSG00000240,292,2254,325,153,260,309,290,374
ENSG00000241,31755,20061,34330,27069,33536,19146,39775,73707
ENSG00000242,17,5,8,7,8,3,8,40
ENSG00000243,1174,4516,1287,3472,1185,115,848,748
ENSG00000244,423,3584,704,3895,579,4081,645,3710
ENSG00000245,0,1,3,0,0,1,0,1
ENSG00000246,99,201,65,381,80,317,134,42
ENSG00000247,2657,1314,1671,7378,1457,3426,1042,5254
ENSG00000248,0,0,0,1,0,0,0,1
ENSG00000249,146,133,136,60,134,358,157,105
ENSG00000250,6,1,3,1,3,3,3,2
ENSG00000251,1793,3473,1837,3721,867,348,1778,3493
ENSG00000252,167,418,65,121,221,112,102,374
ENSG00000253,507,196,393,1208,487,1943,613,697
ENSG00000254,2128,1217,2274,1306,2372,9450,2026,11904
ENSG00000255,333,225,239,884,637,260,234,181
ENSG00000256,12,114,56,69,13,34,29,106
ENSG00000257,112,114,61,13,73,13,33,26
ENSG00000258,1207,384,1208,361,1595,673,1023,4634
ENSG00000259,184,157,230,443,184,1247,222,1051
ENSG00000260,1,0,0,0,0,0,2,0
ENSG00000261,104,272,112,28,45,40,73,372
ENSG00000262,16,7,10,46,18,20,14,6
ENSG00000263,0,0,2,0,0,0,9,1
ENSG00000264,404,3869,546,133,615,1737,660,131
ENSG00000265,32,16,9,172,27,117,30,107
ENSG00000266,16,33,28,44,58,23,33,210
ENSG00000267,125,99,233,303,437,855,281,1224
ENSG00000268,1,1,0,6,1,0,3,0
ENSG00000269,0,1,0,1,2,0,0,0
ENSG00000270,184,453,227,71,226,165,286,115
ENSG00000271,66,17,29,63,50,223,32,116
ENSG00000272,458,348,880,295,584,969,332,1024
ENSG00000273,19,123,42,41,31,35,23,138
ENSG00000274,3,8,5,2,4,0,4,7
ENSG00000275,98,642,234,806,87,699,175,117
ENSG00000276,126,43,95,213,49,61,163,44
ENSG00000277,53,41,64,13,73,126,36,558
ENSG00000278,861,158,207,45,131,252,264,179
ENSG00000279,144,97,203,844,177,1028,179,64
ENSG00000280,8,3,21,14,3,15,22,23
ENSG00000281,6,0,17,2,12,24,9,35
ENSG00000282,76,145,197,111,108,37,80,31
ENSG00000283,2,4,4,5,8,12,2,23
ENSG00000284,45,10,32,19,28,5,49,20
ENSG00000285,2018,1142,4128,940,4295,9972,5535,11873
ENSG00000286,30,10,7,120,4,6,33,67
ENSG00000287,13,42,1,59,11,29,1,0
ENSG00000288,57,206,52,355,84,180,38,8
ENSG00000289,130,51,104,244,91,74,52,50
ENSG00000290,1297,327,1253,1600,1670,155,565,1107
ENSG00000291,1926,4058,3178,4374,3286,2071,4126,4294
ENSG00000292,14,25,16,14,40,82,33,88
ENSG00000293,1036,6732,2070,1433,1577,663,1884,7167
ENSG00000294,634,1282,266,1291,830,2241,886,130
ENSG00000295,0,1,0,0,4,0,0,0
ENSG00000296,59,243,62,24,101,89,98,666
ENSG00000297,1525,1773,981,872,682,1314,943,3381
ENSG00000298,169,117,262,66,287,1520,247,140
ENSG00000299,124,155,53,13,30,30,118,13
ENSG00000300,13,3,7,21,2,22,2,9
ENSG00000301,209,59,106,99,239,707,204,82
ENSG00000302,20,3,9,47,12,5,28,4
ENSG00000303,82,13,144,48,117,76,110,96
ENSG00000304,101,32,150,553,65,79,98,287
ENSG00000305,0,0,1,0,0,1,0,0
ENSG00000306,197,543,189,682,133,408,149,1120
ENSG00000307,1230,2459,2248,2425,1614,409,1602,3124
ENSG00000308,13,17,20,13,38,47,36,9
ENSG00000309,76293,51872,47190,12877,29795,29985,67867,242815
ENSG00000310,7,15,3,4,20,21,3,32
ENSG00000311,348,1806,469,179,472,404,563,3002
ENSG00000312,5,4,20,61,19,19,13,38
ENSG00000313,993,632,525,1159,1104,760,1287,1741
ENSG00000314,1502,2440,1741,11364,2264,3533,2683,5883
ENSG00000315,50,28,55,7,26,6,52,42
ENSG00000316,0,1,1,0,0,0,1,0
ENSG00000317,9,19,52,6,22,7,30,7
ENSG00000318,1078,1017,906,1401,1525,823,1822,7090
ENSG00000319,123,439,128,42,92,120,193,60
ENSG00000320,42,15,40,45,63,50,90,20
ENSG00000321,576,283,243,79,429,444,285,1550
ENSG00000322,256,37,456,394,221,1054,149,241
ENSG00000323,57,8,48,25,45,261,30,108
ENSG00000324,30,120,10,35,15,3,16,140
ENSG00000325,6028,43026,7766,6526,5864,3045,7562,1646
ENSG00000326,2,5,2,1,2,25,2,2
ENSG00000327,1235,268,1300,623,1931,3174,417,487
ENSG00000328,35,7,27,102,37,87,7,52
ENSG00000329,21,6,12,65,7,147,13,26
ENSG00000330,92,185,61,29,11,113,46,124
ENSG00000331,16,1,1,0,4,1,1,27
ENSG00000332,678,2409,1859,321,740,219,1232,2510
ENSG00000333,258,411,170,815,162,54,262,101
ENSG00000334,783,454,796,1774,848,390,738,2725
ENSG00000335,19,53,35,1,5,27,44,15
ENSG00000336,109,254,88,19,69,46,71,73
ENSG00000337,3,3,7,0,0,4,5,0
ENSG00000338,48,144,59,38,136,25,43,85
ENSG00000339,12,12,26,98,29,56,28,86
ENSG00000340,1056,1878,896,289,739,2143,1199,403
ENSG00000341,256,120,637,178,506,144,502,1149
ENSG00000342,0,5,0,0,0,2,1,3
ENSG00000343,70,63,74,118,71,212,111,139
ENSG00000344,2568,3420,1209,4792,2058,650,1397,5498
ENSG00000345,0,0,0,0,3,0,1,0
ENSG00000346,1,0,1,0,1,1,0,0
ENSG00000347,38,82,70,44,68,92,15,287
ENSG00000348,9,2,3,9,8,17,16,13
ENSG00000349,59,39,15,13,21,182,50,8
ENSG00000350,57,189,62,113,86,93,84,26
ENSG00000351,43,16,47,56,59,372,76,186
ENSG00000352,75,61,33,76,37,142,12,16
ENSG00000353,1,0,0,0,0,0,0,0
ENSG00000354,37,134,20,64,61,43,101,500
ENSG00000355,1134,1174,798,2559,2218,11261,1604,880
ENSG00000356,674,1037,383,1838,216,242,543,232
ENSG00000357,2806,667,2982,5804,1333,6943,2814,952
ENSG00000358,3347,834,3183,3487,2442,523,2624,1504
ENSG00000359,1,5,0,0,0,4,1,4
ENSG00000360,1365,1782,736,5359,968,2705,1329,1392
ENSG00000361,865,3765,863,3637,487,2264,845,2730
ENSG00000362,97,44,39,6,57,118,48,10
ENSG00000363,318,2222,179,160,353,855,184,72
ENSG00000364,203,23,108,169,34,415,157,63
ENSG00000365,2,0,1,1,0,0,3,0
ENSG00000366,2,5,1,2,11,5,9,20
ENSG00000367,3241,19426,3849,2565,4180,1753,5252,3244
ENSG00000368,14,35,34,5,35,8,19,6
ENSG00000369,2605,2199,2222,1491,1809,10077,1188,1511
ENSG00000370,328,386,231,79,205,509,319,204
ENSG00000371,0,10,0,0,0,2,1,0
ENSG00000372,935,311,315,1641,748,386,537,4948
ENSG00000373,31,15,7,8,8,6,5,50
ENSG00000374,2,4,1,0,2,8,1,1
ENSG00000375,145,738,117,394,92,470,153,556
ENSG00000376,4492,6647,1770,495,3990,734,5656,503
ENSG00000377,1,0,7,1,2,14,2,3
ENSG00000378,9,48,11,2,8,18,13,39
ENSG00000379,7,0,3,1,1,17,8,15
ENSG00000380,4,23,3,2,11,2,17,3
ENSG00000381,152,98,139,54,115,433,118,107
ENSG00000382,12,0,3,0,1,9,1,0
ENSG00000383,34,145,55,141,17,18,27,96
ENSG00000384,38,10,119,186,70,410,45,274
ENSG00000385,8,5,3,2,2,0,5,11
ENSG00000386,826,5040,1213,668,1474,3095,2616,408
ENSG00000387,92,26,37,43,36,22,49,111
ENSG00000388,0,2,0,1,0,0,0,0
ENSG00000389,60,56,82,59,75,301,138,41
ENSG00000390,205,133,212,1407,267,98,116,926
ENSG00000391,1206,2943,361,182,727,485,674,3813
ENSG00000392,3656,6096,3270,2143,3133,785,2969,1745
ENSG00000393,32790,39562,8588,7517,17267,34867,9723,5495
ENSG00000394,87,19,110,261,196,28,153,42
ENSG00000395,29,5,58,33,17,15,10,7
ENSG00000396,300,134,106,795,129,256,102,65
ENSG00000397,0,2,0,1,1,0,1,0
ENSG00000398,9,17,13,12,20,73,2,4
ENSG00000399,15803,45585,15694,13893,21698,4474,13615,63672
ENSG00000400,187,752,307,140,331,152,193,107
ENSG00000401,584,225,266,155,366,1355,354,140
ENSG00000402,802,1127,426,1500,670,290,946,2402
ENSG00000403,14979,32275,9085,3215,11245,4300,6582,3496
ENSG00000404,43,8,7,94,21,8,26,16
ENSG00000405,4,2,1,1,0,23,3,7
ENSG00000406,22,6,21,4,17,22,36,65
ENSG00000407,465,112,331,58,483,40,363,443
ENSG00000408,16,2,0,2,5,0,8,0
ENSG00000409,1220,1413,709,3855,736,376,1437,4612
ENSG00000410,10,13,19,26,9,9,18,2
ENSG00000411,22,53,12,8,4,68,5,43
ENSG00000412,17,2,10,46,24,20,0,1
ENSG00000413,3,2,2,0,1,1,2,1
ENSG00000414,1164,492,747,516,1124,360,591,2065
ENSG00000415,1395,1347,929,2873,1176,4535,984,5038
ENSG00000416,130,40,212,438,454,502,209,870
ENSG00000417,46,81,24,13,86,5,34,44
ENSG00000418,63,12,62,77,80,214,56,115
ENSG00000419,17,4,13,56,17,29,4,55
ENSG00000420,384933,893784,293956,84126,328566,205302,241581,789568
ENSG00000421,2,7,5,8,10,39,27,20
ENSG00000422,19,26,4,12,3,2,15,4
ENSG00000423,613,441,905,517,669,498,713,1352
ENSG00000424,249,176,261,120,151,185,288,158
ENSG00000425,91,43,36,19,56,35,129,108
ENSG00000426,172,674,269,95,265,110,268,697
ENSG00000427,0,2,2,0,0,0,0,1
ENSG00000428,7,63,3,5,16,5,4,37
ENSG00000429,530,1128,432,586,433,351,402,502
ENSG00000430,25,7,9,16,7,32,4,8
ENSG00000431,10,6,7,8,8,1,9,7
ENSG00000432,117,113,56,256,55,81,90,653
ENSG00000433,10,29,10,25,9,8,6,1
ENSG00000434,565,177,576,914,775,173,387,2470
ENSG00000435,436,1158,172,504,121,153,314,930
ENSG00000436,407,1287,346,228,479,246,517,2124
ENSG00000437,0,4,3,0,0,0,1,0
ENSG00000438,37,128,51,22,16,195,54,384
ENSG00000439,23,287,22,9,37,123,108,69
ENSG00000440,268,61,133,749,82,110,375,592
ENSG00000441,0,0,1,3,0,0,1,0
ENSG00000442,2,1,8,2,2,1,4,12
ENSG00000443,198,59,171,274,300,481,115,457
ENSG00000444,57,128,61,228,57,12,91,26
ENSG00000445,79,45,50,74,70,523,39,47
ENSG00000446,29881,52120,18759,15550,12954,109601,24469,39414
ENSG00000447,356,262,1679,402,1228,463,811,255
ENSG00000448,118,307,156,56,84,198,140,25
ENSG00000449,10,75,49,152,29,146,23,15
ENSG00000450,11,13,21,20,24,29,8,105
ENSG00000451,8,16,20,56,33,28,27,18
ENSG00000452,20,9,4,7,18,6,7,8
ENSG00000453,37,36,18,55,18,53,50,75
ENSG00000454,1106,212,1080,2260,923,233,1178,509
ENSG00000455,154,473,107,287,155,184,163,587
ENSG00000456,23,120,32,24,36,9,64,18
ENSG00000457,6,0,12,13,8,45,11,9
ENSG00000458,138,463,42,89,28,104,44,90
ENSG00000459,91,37,86,120,53,86,139,231
ENSG00000460,84,90,25,295,169,38,166,104
ENSG00000461,0,12,4,2,1,9,2,10
ENSG00000462,266,97,195,79,185,150,110,207
ENSG00000463,2196,623,2436,552,906,1152,2138,3090
ENSG00000464,101,28,164,248,220,267,39,193
ENSG00000465,16,4,26,44,19,8,46,6
ENSG00000466,354,129,265,130,424,360,291,52
ENSG00000467,1809,878,2458,5179,1487,1219,2477,1023
ENSG00000468,24,9,24,1,39,173,14,97
ENSG00000469,80,32,91,16,75,38,100,46
ENSG00000470,220,377,209,296,117,63,185,476
ENSG00000471,70,54,27,92,28,1,20,9
ENSG00000472,3,13,10,4,5,4,9,0
ENSG00000473,1642,3192,462,1803,516,541,1248,1321
ENSG00000474,1,6,0,0,1,0,2,0
ENSG00000475,183,59,127,72,90,353,243,669
ENSG00000476,201,331,164,235,223,67,140,773
ENSG00000477,42,21,41,11,83,110,44,9
ENSG00000478,119,455,125,111,206,372,139,102
ENSG00000479,25,82,33,26,15,71,23,132
ENSG00000480,226,97,306,216,243,811,347,76
ENSG00000481,84,77,150,534,139,229,66,285
ENSG00000482,26,30,3,48,11,10,8,45
ENSG00000483,6,4,4,0,13,63,7,7
ENSG00000484,6,29,3,6,21,31,18,4
ENSG00000485,7,0,4,9,5,2,2,0
ENSG00000486,220,54,434,291,507,170,294,1742
ENSG00000487,217,63,82,4,51,108,28,138
ENSG00000488,178,289,96,71,218,880,184,79
ENSG00000489,0,0,0,0,2,2,0,0
ENSG00000490,994,3379,1023,3198,1955,2275,2003,393
ENSG00000491,325,115,433,103,528,220,275,1124
ENSG00000492,103,9,42,394,106,66,156,563
ENSG00000493,16,5,61,63,39,121,22,6
ENSG00000494,18,51,16,50,11,95,8,5
ENSG00000495,2,1,4,0,0,8,1,4
ENSG00000496,0,0,0,0,0,0,0,0
ENSG00000497,1223,1485,907,615,974,329,603,2272
ENSG00000498,12344,4556,7159,43292,7746,9298,10550,37418
ENSG00000499,231,109,104,62,164,530,194,767
ENSG00000500,12,9,9,20,15,27,11,3
ENSG00000501,333,206,344,464,265,397,123,1483
ENSG00000502,48,80,193,445,71,37,79,36
ENSG00000503,622,2151,454,499,523,79,483,152
ENSG00000504,2208,2660,5483,2572,8530,4827,6000,25063
ENSG00000505,0,0,1,0,1,0,0,0
ENSG00000506,104,544,129,102,155,72,192,331
ENSG00000507,2094,5677,3358,1188,3303,2251,3544,2244
ENSG00000508,154,392,110,36,157,34,119,205
ENSG00000509,0,1,2,4,0,1,1,0
ENSG00000510,18,13,8,9,11,2,24,22
ENSG00000511,0,0,0,0,1,2,0,6
ENSG00000512,3,7,13,13,10,2,6,7
ENSG00000513,3780,4880,3455,4792,3203,1640,2217,15741
ENSG00000514,62,140,10,21,58,17,29,226
ENSG00000515,178,436,86,254,133,301,114,25
ENSG00000516,1470,1058,821,2496,1021,4950,1099,2660
ENSG00000517,2205,5264,4047,1244,2830,1889,2004,4984
ENSG00000518,19,6,15,67,11,23,10,42
ENSG00000519,17,11,1,0,5,7,8,7
ENSG00000520,42,8,24,16,72,159,38,40
ENSG00000521,11,6,1,11,4,2,2,37
ENSG00000522,14,14,22,11,20,365,28,121
ENSG00000523,6,7,4,1,4,3,3,1
ENSG00000524,10,4,18,7,3,29,14,3
ENSG00000525,12,19,14,1,15,38,18,56
ENSG00000526,1676,2207,984,5570,1439,609,2805,3324
ENSG00000527,216,267,144,53,137,99,124,22
ENSG00000528,565,2068,1200,1198,1157,592,1243,481
ENSG00000529,16,32,8,2,5,12,2,1
ENSG00000530,1,1,7,2,5,6,7,25
ENSG00000531,14,14,6,8,11,1,28,14
ENSG00000532,861,2213,1069,4439,463,3024,498,2104
ENSG00000533,3,6,4,1,6,3,7,0
ENSG00000534,1677,2228,2523,9883,2548,22645,3019,1765
ENSG00000535,5169,7037,11009,40616,13263,34719,8541,9802
ENSG00000536,397,484,392,105,363,987,461,148
ENSG00000537,230,75,145,80,125,113,55,633
ENSG00000538,14,7,31,9,20,52,25,28
ENSG00000539,16,8,4,7,17,0,8,3
ENSG00000540,1074,1121,1627,1203,2253,2424,1825,522
ENSG00000541,6,1,26,17,7,10,10,75
ENSG00000542,2,1,1,0,1,1,1,3
ENSG00000543,79,232,281,59,172,604,273,709
ENSG00000544,23,108,8,133,32,28,10,52
ENSG00000545,95,833,191,86,180,40,222,1278
ENSG00000546,16,111,28,5,34,33,23,26
ENSG00000547,239,929,74,49,124,759,102,661
ENSG00000548,64,123,33,36,18,4,16,104
ENSG00000549,210,173,314,1478,280,1215,455,2455
ENSG00000550,78,108,29,248,52,41,104,37
ENSG00000551,718,2332,588,112,627,818,638,647
ENSG00000552,313,553,620,972,651,1809,380,247
ENSG00000553,34,9,72,96,35,36,24,39
ENSG00000554,11,28,25,18,12,16,21,31
ENSG00000555,111,327,99,328,384,435,272,299
ENSG00000556,2,1,3,4,3,1,1,2
ENSG00000557,2059,2380,3437,1254,2643,2483,2006,1977
ENSG00000558,364,204,511,766,216,370,386,244
ENSG00000559,215,224,272,191,222,394,165,275
ENSG00000560,0,0,3,1,0,0,0,0
ENSG00000561,11,4,2,6,2,6,5,4
ENSG00000562,20,15,50,32,25,29,51,43
ENSG00000563,1,2,0,3,0,0,0,0
ENSG00000564,26,36,11,46,38,32,31,17
ENSG00000565,1542,1369,1694,1521,1042,1330,555,1397
ENSG00000566,8,6,2,4,4,19,14,7
ENSG00000567,6537,7794,2601,6756,4947,4640,4742,5784
ENSG00000568,0,0,0,3,0,1,0,2
ENSG00000569,58,48,31,45,22,28,45,49
ENSG00000570,2,10,3,1,1,2,4,3
ENSG00000571,1842,1959,1152,951,847,1333,1540,1145
ENSG00000572,358,620,552,526,293,547,479,549
ENSG00000573,7,1,1,4,6,1,4,11
ENSG00000574,38,27,20,13,37,22,38,26
ENSG00000575,6,7,23,9,12,11,4,9
ENSG00000576,45,22,35,69,19,26,24,66
ENSG00000577,4633,3870,2311,5217,3165,3112,5333,3727
ENSG00000578,12,4,2,19,9,8,5,13
ENSG00000579,37,47,16,16,20,38,18,15
ENSG00000580,7,6,15,1,4,7,4,16
ENSG00000581,156,242,173,179,191,74,83,121
ENSG00000582,59,40,78,50,25,66,82,138
ENSG00000583,45,15,11,4,11,44,21,31
ENSG00000584,408,308,368,371,526,275,369,412
ENSG00000585,501,1335,736,1189,708,771,813,740
ENSG00000586,3976,5665,5623,2289,4416,5263,3758,4822
ENSG00000587,23,26,13,23,27,30,13,19
ENSG00000588,105,85,262,235,177,132,79,101
ENSG00000589,31,23,8,20,29,29,17,18
ENSG00000590,1002,2111,2119,1210,1439,1780,813,736
ENSG00000591,21,82,67,110,41,45,33,48
ENSG00000592,20339,29230,23296,25705,8426,29470,22598,32657
ENSG00000593,104,90,89,81,64,27,38,87
ENSG00000594,113,119,318,244,140,211,255,144
ENSG00000595,5,1,1,0,0,8,1,0
ENSG00000596,1204,324,214,428,523,562,589,639
ENSG00000597,2,5,5,5,1,6,3,7
ENSG00000598,745,1474,798,1064,419,637,469,1157
ENSG00000599,3133,2327,3100,2545,2280,5790,2286,3056
ENSG00000600,43,52,36,66,35,37,32,171
ENSG00000601,69,84,72,86,114,44,99,77
ENSG00000602,81,289,94,117,57,256,115,162
ENSG00000603,717,879,629,769,544,683,704,472
ENSG00000604,75,65,129,134,115,42,44,96
ENSG00000605,1,4,19,5,14,8,2,5
ENSG00000606,26,11,19,18,10,18,41,10
